File,Language,Participant,Item_type,Item_num,Focus,TP,Word,Syll,Syll_num,Prosodic_Prom,min_time,max_time,F0_mean,F0_min,F0_max,F0_range,env_mean,env_min,env_max,env_range,duration,Gender,Age,tier_num,tier_name,tier_type,tier_xmin,tier_xmax,xmin,xmax,text
C02_T_13_I,Catalan,2,target,13,information,El mòbil de color rosa,NC,lor_pre,6,NA,2644.99999999998,2785.00000000003,217.794189453125,212.716766357422,221.096466064453,8.379699707031023,0.1192043091021924,0.0938152751067486,0.135523232122034,0.04170795701528539,140.00000000005002,female,19,10,Syll,IntervalTier,0,3.23599999999999,2644.99999999998,2785.00000000003,lor_pre
C02_T_14_F,Catalan,2,target,14,filler,El cotxe de color rosa,NC,lor_pre,5,NA,2449.00000000001,2573.00000000004,232.374043782552,231.028915405273,234.872375488281,3.843460083007983,0.16311753495505155,0.130540475424982,0.187849825079027,0.05730934965404499,124.00000000003001,female,19,10,Syll,IntervalTier,0,3.06100000000004,2449.00000000001,2573.00000000004,lor_pre
G01_T_06_F,German,1,target,6,filler,NP,Adj,liː,2,NA,7797.00000000003,8360.999999999989,123.10265269178032,93.4211502075195,193.660537719727,100.23938751220749,0.03434477153885883,0.015027579155461,0.0953796163258284,0.0803520371703674,563.9999999999591,male,28,8,Syll,IntervalTier,0,12.351,7797.00000000003,8360.999999999989,liː
G01_T_06_F,German,1,target,6,filler,NP,N,dra:t,6,NA,10000,10547,NA,NA,NA,NA,0.02093485834616038,0.00794036652606378,0.0368280038080806,0.02888763728201682,547,male,28,8,Syll,IntervalTier,0,12.351,10000,10547,dra:t
G01_T_31_B,German,1,target,31,background,NP,N,flø,2,NA,9002.99999999993,9295.99999999994,103.60567304823137,93.0997085571289,114.519081115723,21.41937255859409,0.02422669475797261,0.00882701351137636,0.0410606633476593,0.03223364983628294,293.0000000000091,male,28,8,Syll,IntervalTier,0,13.534,9002.99999999993,9295.99999999994,flø
G01_T_31_B,German,1,target,31,background,NP,Adj,ʁɑːʃ,6,NA,10517.9999999999,11055.9999999999,75.35961023966473,74.2015991210938,76.4331207275391,2.2315216064452983,0.01520290024863063,0.0029762460390403,0.0272165492197808,0.0242403031807405,538,male,28,8,Syll,IntervalTier,0,13.534,10517.9999999999,11055.9999999999,ʁɑːʃ
G13_T_19_R,German,13,target,19,corrective,NP,Adj,gɛl,6,NA,5334.00000000006,5514.00000000001,109.75275611877444,99.9067687988281,119.402984619141,19.496215820312894,0.04434128058915877,0.0197829953326915,0.0588607828159671,0.0390777874832756,179.99999999994998,male,26,8,Syll,IntervalTier,0,6.92100000000005,5334.00000000006,5514.00000000001,gɛl
G13_T_25_C,German,13,target,25,contrastive,NP,Adj,lɪ,2,NA,2773.00000000002,3024.99999999998,123.34499673282389,107.866432189941,143.581405639648,35.71497344970702,0.03045400609359792,0.010661416128528,0.0664038519756323,0.05574243584710429,251.99999999995998,male,26,8,Syll,IntervalTier,0,9.93100000000004,2773.00000000002,3024.99999999998,lɪ
G13_T_26_R,German,13,target,26,corrective,NP,Adj,an,5,NA,5221,5391.99999999994,147.3642684936524,130.264938354492,173.913040161133,43.64810180664102,0.07773714544731689,0.0628234315253253,0.092159821525081,0.0293363899997557,170.99999999993997,male,26,8,Syll,IntervalTier,0,11.468,5221,5391.99999999994,an
G13_T_26_R,German,13,target,26,corrective,NP,Adj,lɪ,12,NA,8284.999999999969,8415.99999999994,134.3387115478515,117.432579040527,154.340835571289,36.908256530762,0.05135737242939349,0.0462266333455217,0.0533231030501915,0.0070964697046698,130.9999999999709,male,26,8,Syll,IntervalTier,0,11.468,8284.999999999969,8415.99999999994,lɪ
G13_T_26_R,German,13,target,26,corrective,NP,N,ruk,15,NA,8603.999999999929,8739.00000000003,182.0049896240235,167.798477172852,192.737701416016,24.93922424316401,0.04206770926904369,0.0245044248874579,0.0510572959702274,0.0265528710827695,135.00000000010004,male,26,8,Syll,IntervalTier,0,11.468,8603.999999999929,8739.00000000003,ruk
