"Variable","Catalan_NA","German_NA","Total_NA"
"durationPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"duration","0 / 0%","0 / 0%","0 / 0%"
"durationPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"duration_noSilencePre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"duration_noSilence","1 / 0.04%","0 / 0%","1 / 0.02%"
"duration_noSilencePost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"ampl_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"ampl_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"ampl_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"ampl_sdPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"ampl_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"ampl_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"ampl_noSilence_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"ampl_noSilence_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"ampl_noSilence_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"ampl_noSilence_sdPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"ampl_noSilence_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"ampl_noSilence_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"env_slopePre","236 / 10.51%","115 / 4.91%","351 / 7.65%"
"env_slope","22 / 0.98%","22 / 0.94%","44 / 0.96%"
"env_slopePost","317 / 14.11%","88 / 3.75%","405 / 8.82%"
"amEnvDep_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"amEnvDep_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"amEnvDep_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"amEnvDep_sdPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"amEnvDep_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"amEnvDep_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"pitch_medianPre","361 / 16.07%","297 / 12.67%","658 / 14.34%"
"pitch_median","100 / 4.45%","188 / 8.02%","288 / 6.27%"
"pitch_medianPost","517 / 23.02%","523 / 22.31%","1040 / 22.66%"
"pitch_sdPre","361 / 16.07%","297 / 12.67%","658 / 14.34%"
"pitch_sd","100 / 4.45%","188 / 8.02%","288 / 6.27%"
"pitch_sdPost","517 / 23.02%","523 / 22.31%","1040 / 22.66%"
"f0_slopePre","411 / 18.3%","265 / 11.31%","676 / 14.73%"
"f0_slope","130 / 5.79%","98 / 4.18%","228 / 4.97%"
"f0_slopePost","466 / 20.75%","431 / 18.39%","897 / 19.54%"
"fmDep_medianPre","705 / 31.39%","512 / 21.84%","1217 / 26.51%"
"fmDep_median","236 / 10.51%","225 / 9.6%","461 / 10.04%"
"fmDep_medianPost","678 / 30.19%","678 / 28.92%","1356 / 29.54%"
"fmDep_sdPre","705 / 31.39%","512 / 21.84%","1217 / 26.51%"
"fmDep_sd","236 / 10.51%","225 / 9.6%","461 / 10.04%"
"fmDep_sdPost","678 / 30.19%","678 / 28.92%","1356 / 29.54%"
"specCentroid_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"specCentroid_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"specCentroid_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"specCentroid_sdPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"specCentroid_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"specCentroid_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"entropy_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"entropy_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"entropy_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"entropy_sdPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"entropy_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"entropy_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"entropySh_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"entropySh_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"entropySh_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"entropySh_sdPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"entropySh_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"entropySh_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"flux_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"flux_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"flux_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"flux_sdPre","185 / 8.24%","18 / 0.77%","203 / 4.42%"
"flux_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"flux_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"CPP_medianPre","361 / 16.07%","297 / 12.67%","658 / 14.34%"
"CPP_median","100 / 4.45%","188 / 8.02%","288 / 6.27%"
"CPP_medianPost","517 / 23.02%","523 / 22.31%","1040 / 22.66%"
"CPP_sdPre","361 / 16.07%","297 / 12.67%","658 / 14.34%"
"CPP_sd","100 / 4.45%","188 / 8.02%","288 / 6.27%"
"CPP_sdPost","517 / 23.02%","523 / 22.31%","1040 / 22.66%"
"novelty_medianPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"novelty_median","1 / 0.04%","0 / 0%","1 / 0.02%"
"novelty_medianPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"novelty_sdPre","183 / 8.15%","17 / 0.73%","200 / 4.36%"
"novelty_sd","1 / 0.04%","0 / 0%","1 / 0.02%"
"novelty_sdPost","251 / 11.18%","67 / 2.86%","318 / 6.93%"
"HNR_medianPre","241 / 10.73%","116 / 4.95%","357 / 7.78%"
"HNR_median","22 / 0.98%","73 / 3.11%","95 / 2.07%"
"HNR_medianPost","347 / 15.45%","284 / 12.12%","631 / 13.75%"
"HNR_sdPre","298 / 13.27%","207 / 8.83%","505 / 11%"
"HNR_sd","48 / 2.14%","129 / 5.5%","177 / 3.86%"
"HNR_sdPost","422 / 18.79%","416 / 17.75%","838 / 18.26%"
